"site.plot","ACMI","AGGI","ANCA","ANMA","ANVI","ANCA.1","ASSY","BRIN","CAREX","CENI","CIAR","CLVIR","COST","DACA","DIAR","ECVU","EQAR","ERAN","FAGR","FERN","FRVI","GEUR","HIVU","HYPE","INHE","LEVU","LIVUL","LOCAN","LOCO","LOPE","LYAM","MEAL","MELU","MEPI","MOFI","OXST","PHAR","PHPR","PIST","PLLA","POAL","POPR","PORE","RAAC","RHCA","ROMU","RUHI","RULA","RUOC","SEVA","SOARV","SOSP","STME","SYCO","SYER","SYLA","SYNO","TAOF","TORA","TRHY","TRPRA","VAOF","VEOF","VETH","VICR","VIRI","VIRO"
4.17,0,0,0,0,0,0,0.5,30,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,20,0,35
4.18,0,0,0,0,0,0,0.5,20,0,0,0,0,0,0.25,0,0,0,0,0,0,5,0.5,0,0.25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,30
4.19,0,0,0,0,0,0,1,10,0,0,0,0,0,2,0,0,0,0,2,0,2.5,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,15,0,0.5,0,0,0,0,0.25,0,0,0,0,25
4.2,0,0,0,0,0,0,4,15,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,7.5,2.5,0,0,0,0,0,0,0,0,90,0,0,0.5,0.5,0,0,0,0,0,5,0,0,42,0,90
4.21,0,0,0,0,0,0,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,30,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,20,0,10
4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,5,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0.25,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,10,3,5
4.23,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0.75,7.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,2.5,0,2.5,0.25,0,0.25,0,0,0,0,10,0,70
4.24,0,0,5,0,0,0,2.5,10,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,2.5,0,0,1,0,2.5,0,0,0,0,2,0,0,5,0,20
4.25,0,0,0,0,0,0,0,7.5,0,0,0.25,0,0,0.25,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,0,1,0,0,0,0,0.25,0,0,5,0,80
4.3,0,0,0,0,0,0,4,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,40,1,0,0,1,5,0,0,0,0,0,0,0,15,25,2.5
4.4,0,0,0,0,0,0,0,2,0,0,0,0,0,2.5,0,0,0,0,5,0,5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0.75,10
4.5,0,0,0,0,0,0,1,5,0,0,0,0,0,8.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,85,0,0,1,0,1,1,0,0,0,0,0,0,27.5,2,10
4.6,0,0,0,0,0,0,0.75,30,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,5,0,0,0,2,5,0.25,0,0,0,0,0,0,30,0,50
4.7,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.25,0,0,0,0,0,0,0,0,0,25,0,75
4.8,0,0,0,0,0,0,2.5,55,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,15,0,15
4.9,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,25,0,40
5.1,0,0,0,0,0,0,1,30,0,0,5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9.5,0,0,10,0,15,0,0,0,0,0,0,0,30,0,50
5.11,0,0,25,0,0,0,0,25,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,35
5.12,0,1,0,0,0,0,2.5,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0.5,0,0,0,0,0,0,0,0,0,20,0,80
5.13,0,0,0,0,0,0,0,40,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,20,2.5,0,0,0,0,0,0,0,15,0,50
5.14,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,15,0,30
5.15,0,0,0,0,0,0,0,30,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,0,0,10,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,35,0,25
5.16,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,60,0,0,0,0,0,7.5,0,85
5.17,0,0,0,0,0,0,1,7.5,0,0,0.5,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0.25,0,0,0,0,0,15,0,7.5
5.18,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,25,0,0,0,0,0,0,1,0,0,5,0,0.5,0,0,0,0,0,0,0,15,0,5
